# audience	path	classification	rationale
player	player.diplomacyPartners[].canDenounce	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].canOfferFriendship	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPartners[].civilizationId	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.diplomacyPrompts[].availableCityStateResponses[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].cityStateCivilizationId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].demand	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].promptId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].requestingCivilizationId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomacyPrompts[].type	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.diplomaticVoteCandidates[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].choices[].choiceId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].choices[].text	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].eventName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].promptId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].text	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.eventPrompts[].unitId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.exploredTiles[].baseTerrain	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].improvementName	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].improvementPillaged	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].naturalWonderName	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].resourceAmount	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].resourceName	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].roadPillaged	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].roadStatus	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].terrainFeatures[]	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].visible	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].x	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.exploredTiles[].y	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.gold	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.isCurrentTurn	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.knownCivilizations[]	legally_known	Disclosed only when canonical visibility or diplomatic knowledge permits this field.
player	player.ownCities[].assignableTiles[].locked	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].assignableTiles[].worked	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].assignableTiles[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].assignableTiles[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].availableConstructions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].availableGovernanceActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].avoidGrowth	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].bombardTargets[].preview.attackerBaseStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerEffectiveStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerMaxHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerMaxRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerMinRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerModifiers[].label	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.attackerModifiers[].percent	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderBaseStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderEffectiveStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderMaxHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderMaxRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderMinRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderModifiers[].label	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.defenderModifiers[].percent	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].preview.outcome	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].bombardTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].citizenFocus	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].availableActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].estimatedTurns	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].kind	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].name	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].placementTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].placementTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].productionCost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].purchases[].allowed	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].purchases[].availableAmount	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].purchases[].cost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].purchases[].currency	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].purchases[].legalTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].purchases[].legalTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionOptions[].purchases[].requiresTile	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].queueable	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionOptions[].storedProduction	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].availableActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionQueueEntries[].estimatedTurns	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].name	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].productionCost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].purchases[].allowed	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].purchases[].availableAmount	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionQueueEntries[].purchases[].cost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].purchases[].currency	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].purchases[].legalTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionQueueEntries[].purchases[].legalTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].constructionQueueEntries[].purchases[].requiresTile	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueueEntries[].storedProduction	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].constructionQueue[]	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].health	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].id	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].isBeingRazed	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].isPuppet	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].manualSpecialists	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].name	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].population	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].selectableCitizenFocuses[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownCities[].sellableBuildings[]	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].specialists[].assigned	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].specialists[].capacity	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].specialists[].name	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileBatchPurchases[].affordable	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileBatchPurchases[].goldCost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileBatchPurchases[].ring	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileBatchPurchases[].tileCount	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tilePurchases[].affordable	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tilePurchases[].goldCost	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tilePurchases[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tilePurchases[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].locked	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].ownedByActor	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].owningCityId	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].worked	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].workingCityId	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].tileStates[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].unitPromotionPreferences[].baseUnitName	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].unitPromotionPreferences[].enabled	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].unitPromotionPreferences[].savedPromotions[]	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownCities[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].airSweepTargets[].attackerBaseStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].attackerHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].attackerMaxHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].attackerModifiers[].label	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].attackerModifiers[].percent	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].interceptorDisclosure	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].airSweepTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].attackFromX	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].attackFromY	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerBaseStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerEffectiveStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerMaxHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerMaxRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerMinRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerModifiers[].label	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.attackerModifiers[].percent	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderBaseStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderEffectiveStrength	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderMaxHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderMaxRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderMinRemainingHealth	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderModifiers[].label	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.defenderModifiers[].percent	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].preview.outcome	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].attackTargets[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].automated	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].availableGreatPersonActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableImprovementOrders[].improvementName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableImprovementOrders[].queuedImprovementName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableInstantImprovementActions[].actionId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableInstantImprovementActions[].title	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availablePostures[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availablePromotions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableReligiousActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableRoadDestinations[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableRoadDestinations[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableTransformActions[].actionId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableTransformActions[].targetUnitName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableTriggerActions[].actionId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableTriggerActions[].title	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableUpgradeTargets[].goldCost	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].availableUpgradeTargets[].targetUnitName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].canDisband	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].canFoundCity	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].canGift	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].canPillage	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].canRename	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].capitalProjectName	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].civilizationId	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].currentMovement	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].exploring	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].health	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].id	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].improvementOrder[].improvementName	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].improvementOrder[].turnsRemaining	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].instanceName	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].moveDestinations[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].moveDestinations[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].moveTowardDestinations[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].moveTowardDestinations[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].movementDestinationX	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].movementDestinationY	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].movementEscortUnitId	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].name	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].nextPromotionXp	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].nuclearTargetCandidates[].blastRadius	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].nuclearTargetCandidates[].effectDisclosure	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].nuclearTargetCandidates[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].nuclearTargetCandidates[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].paradropDestinations[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].paradropDestinations[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].posture	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].promotionXp	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].promotions[]	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].roadConnectionDestinationX	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].roadConnectionDestinationY	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].roadConnectionPath[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].roadConnectionPath[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].swapDestinations[].x	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].swapDestinations[].y	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.ownUnits[].x	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.ownUnits[].y	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.pendingCityDispositions[].availableActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingCityDispositions[].cityId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingCityDispositions[].cityName	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].requestId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].requestingCivilizationId	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.ourOffers[].amount	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.ourOffers[].duration	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.ourOffers[].name	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.ourOffers[].type	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.theirOffers[].amount	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.theirOffers[].duration	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.theirOffers[].name	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTradeRequests[].trade.theirOffers[].type	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.pendingTurnActions[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
player	player.policies.adoptedPolicies[]	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.policies.cultureNeededForNextPolicy	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.policies.freePolicies	player_private	Authenticated actor-owned state required for private presentation and reconciliation.
player	player.policies.selectablePolicies[]	action_allowlist	Server-derived legal input or prompt allowlist; the client cannot establish authority.
